2500 5000
1675 937 -107583813
2137 284 -466603121
227 1223 -145531668
243 1701 -25962960
865 294 -32427498
897 2145 731356311
279 1281 -202048519
1115 374 257816102
1537 147 -444521893
1905 2164 835685451
1846 2080 984911196
1414 1707 634592188
1765 813 -325271253
2382 2269 944306575
1445 1867 -318811356
461 669 -82594743
383 1286 -333147249
2379 743 -269700362
1826 2360 -484155404
931 1653 -46918698
771 2406 257310435
2376 2231 940959850
1479 2421 564114157
28 33 426200908
2367 342 607837905
259 184 35457438
2039 2016 -12807848
2086 2013 179421005
1211 489 847080653
1404 1837 -61122149
2084 914 343572212
980 660 533666309
2339 2376 -372550505
2136 1762 505628152
709 478 -418531294
1944 251 605476610
2453 2282 60826888
1648 1603 254812852
685 965 98983760
1123 1790 268450618
1496 946 143553590
149 430 287922223
10 1035 796031299
11 1471 424356665
1437 1258 107609425
2315 1185 636208833
2322 1773 48217590
759 901 -234511760
1457 15 6495883
1926 1037 -466336542
1904 2391 503339454
1297 2408 285445592
1574 74 261951270
1669 2091 -20265198
252 1902 114102777
2070 1443 188474665
2161 2114 616949746
1736 698 268227807
1137 1327 396981332
2177 1911 853105193
1201 1039 703871497
1262 85 358750088
2237 1151 789693233
586 1206 715277153
1841 1221 955574231
2243 862 822857208
455 1334 289480921
1129 451 525554453
932 2070 171333836
50 812 694196185
796 864 -247702344
1496 2247 461496088
1512 811 470970729
235 1023 -73265011
276 995 500879904
1116 1087 72983371
817 145 -37863397
1527 426 465527691
1271 697 -114509920
1981 386 480671755
242 1974 -146159367
2333 585 -488208972
934 1830 306812681
1792 207 -95171339
365 2495 -61576486
1722 1739 629400398
237 929 449829960
22 1794 626090594
1400 2158 -415565079
2037 514 -372294577
4 2415 643402413
284 1065 904762669
396 776 -308000423
2240 1613 -252234868
870 2481 997466758
938 449 -20388891
1321 1038 936696083
2311 1664 300827359
1432 1994 544837147
271 951 -468659078
2380 1530 75012261
1899 2363 520809638
394 1456 -101833084
606 635 -196907323
2264 97 -40118108
2427 943 -383225747
2322 2033 248066405
2000 616 530123165
1597 1538 82662036
134 933 251536377
757 1104 -326951500
2328 376 933796094
1710 1387 855106813
2217 812 -344638359
2243 666 440175017
589 684 -319631139
203 1230 -122637678
322 1416 -32317506
483 1469 -209127952
625 2351 -425150760
393 1798 -367791000
979 865 691390009
1618 1539 -113645139
1758 2231 302674301
2142 2438 -135884083
1962 1799 991154990
1321 2146 -348220251
1599 2174 95116378
212 62 538604736
414 2333 366629872
1596 781 -252319087
54 536 355820335
1036 1045 254089514
315 1989 661171964
1939 1614 -440485778
358 1464 -5122841
1357 2025 -78334579
1650 2308 26695670
476 1547 -415121653
1640 309 81347619
525 2365 759502831
1303 492 -405775569
1929 1447 -274188934
141 2383 328430546
400 2488 -496074290
1668 384 654837792
455 710 -181101718
1960 2475 -194053354
279 1061 53107843
1691 385 -211116331
1496 640 749329815
389 1598 842028866
283 1169 990838083
1179 1479 108492442
229 585 298903651
2493 1423 667439032
1386 2340 -382928397
2134 1887 -93085130
2492 2371 -110325525
742 1188 785985673
713 1137 168184772
684 285 -85463414
1728 1396 -116914844
2009 2064 176690286
459 322 169634431
2325 1139 850620270
2091 142 15239938
1321 582 990052609
728 2198 526761936
1134 929 988676603
483 38 -402084583
1576 295 939789855
676 908 -81469842
2296 785 -359692268
442 856 617400334
2265 1430 355297241
1827 1923 -339154931
1061 1174 508163470
1739 2233 538962741
1788 522 -368269675
626 17 995896936
2365 30 379640531
323 110 654875924
592 59 456590394
1998 1820 531360888
738 1733 147487223
2186 431 -148935457
1782 1522 314829451
555 111 879775523
1072 531 571113114
2265 35 -188610815
652 2170 326310555
899 940 708992268
380 353 399077290
1548 63 364098729
1949 1015 460262368
24 338 829775024
2396 2340 425650843
567 1123 -341275874
1328 1914 759344893
1622 983 614774028
1846 1104 903604099
2099 136 742983686
873 1704 933565217
1556 2133 130948488
1752 1048 -13510509
2045 194 164037343
66 1187 836510191
1125 1331 167313559
481 888 765520706
1779 1063 237099261
459 312 -302382131
1525 1673 709687474
1593 928 258206176
815 577 -177399111
585 2332 718833643
937 2395 719746134
1602 1317 -282653163
2030 1898 460803659
1156 1985 57460239
136 760 423636589
179 1973 -337797695
2004 1812 531511181
1558 429 325827470
386 1523 794618193
2205 1291 671014452
1519 1606 -209773046
331 1424 502453809
789 1114 566761496
444 952 823939702
190 2175 370128789
232 2380 256478183
1571 2360 366665790
1010 1661 783449243
710 538 748982933
1341 895 -421907555
959 115 327887914
2441 1121 -196449084
2052 1660 257540413
1667 1339 707649064
340 1991 736615182
2203 1765 343608600
1045 947 72999255
548 1845 775139313
116 253 735858306
763 1332 295178076
484 689 -98613526
565 955 -494927161
1215 1660 424687921
131 755 23261795
550 1314 -105448426
2465 1540 76121067
1213 1668 926586789
1597 951 -54732480
2485 1353 -18976482
2231 767 731522733
872 1858 5253645
2101 1035 189485071
731 404 249033477
806 1367 -399424125
1913 1327 608380149
538 1974 960667856
41 419 638859345
74 1212 713308671
631 1894 -133876422
1055 2499 159792742
922 2132 891575902
2353 1213 948661786
1959 2389 -324541073
2392 73 -380739775
475 2121 -392855287
521 1497 63532693
1666 1569 -419546530
919 1910 495361661
1990 1156 616020142
1634 209 -150276109
68 964 776235722
64 1909 491718174
2068 1450 464125102
1075 1957 -438137578
49 534 -67577738
2145 484 -261395570
437 1787 13156801
1689 1621 232430918
1064 410 -244052576
2281 390 -445039069
1980 2427 334939114
377 2074 -233058748
1312 986 -16128901
1039 334 997647233
257 138 536484401
1091 152 579818727
1285 2285 316464084
2025 340 -36821363
2250 556 -166002996
866 1067 607548298
1255 244 -155447036
881 2466 52070317
282 932 -190523882
1075 1586 677919727
2298 237 477434494
841 1106 580772007
480 72 793225311
291 1179 109205891
839 1823 679253035
36 1561 568323236
179 1086 -212812141
11 483 267063552
2150 1321 591158644
1809 513 62594190
295 2285 492288517
59 1993 -352728141
219 1179 796674897
2238 2336 642872554
640 1375 -455252547
1447 2198 -222359429
1013 645 -257714518
2109 2172 -17890066
2418 353 76573366
1017 624 346977385
2166 117 110457536
2138 1265 535057592
932 848 653715266
2442 2233 542855661
1053 2157 -468697596
830 1084 878602729
1338 2463 -298185368
1010 1280 192771410
719 644 665538424
1601 2370 -21220135
301 908 592352444
1339 1981 -167958115
1902 1013 21292979
381 2139 421564212
68 32 437150635
1311 1979 848413188
608 1988 -212776884
103 2336 -450588173
2179 452 585969933
1492 1281 -368281908
659 1280 -188127642
1966 1475 837623800
153 848 -227108770
1264 1566 -79830102
1234 676 479607522
150 463 -49984883
645 2186 144729856
1028 1598 566899514
140 418 -23957031
679 783 7209194
715 963 287158713
1617 670 843956821
2122 1155 52331437
920 1673 562289919
1555 2499 -89238989
1968 1753 -397423692
156 872 57331860
413 2432 -361591073
2076 756 -426286752
1978 1193 -153047784
1674 755 396502491
1859 773 279545532
1514 834 -72021895
110 2380 -35834395
719 641 720699918
494 1449 -454238086
408 612 -73904713
929 320 247197783
66 818 736306265
27 2296 567599901
1845 2292 -218642153
684 1482 509520357
2197 266 761085167
652 553 -150903789
1792 355 504833679
1972 1768 -128609978
353 211 -468996112
1031 1483 -296192150
1261 969 -311393423
21 803 699435773
2183 1850 53896497
2185 1547 -263672873
565 2386 -143093326
1291 1635 726813067
1397 757 226481969
61 996 -373141480
128 2355 833584987
564 1833 935185908
2258 1634 996760362
408 840 -449352317
1147 1505 558908968
1742 686 819287706
568 1175 690026401
182 49 869600561
244 1330 -172207000
985 1455 -155028014
988 808 722457234
403 1962 307330019
578 346 767078489
355 1955 501384559
1619 286 -484633581
1912 1797 -328650407
2361 804 -147775525
1116 39 -124171025
124 752 -200795523
604 344 178148590
608 328 985880240
110 573 294845531
1204 2230 561181658
41 1435 190072127
23 283 -356802738
985 1506 -230777537
987 1000 885191420
784 1561 -204600257
590 2491 403115697
1038 1642 -431454312
2210 457 82948066
239 1360 722826916
1098 1551 -401966930
1339 508 247903585
932 2368 34114403
953 1145 255062732
366 1330 -206034877
504 1713 624783081
709 1450 854218163
1025 848 914559688
2065 691 420585148
1366 1118 98592495
1309 138 911737844
679 1167 -476030937
1481 1858 -131843978
932 674 -155631593
53 2000 702911914
1794 1227 810495791
2143 1879 -316628563
103 1086 -350701857
464 2156 -171790682
2423 84 859436374
1567 2004 -178227315
397 1651 -255461499
1179 446 -67174236
2213 2091 673019990
34 608 231483288
2120 646 -250456133
498 298 -379864616
1851 1413 -138308443
1049 2457 -91857301
2385 511 617356443
2307 541 215461444
163 1598 -430648304
839 308 146812208
1022 2092 101533829
984 249 930732484
1005 1771 126557146
1260 1822 529660501
938 2475 294275349
96 1619 -288532878
1606 1497 477464436
1077 2022 -351788311
1120 53 -302268346
1996 1993 771299046
747 508 809393014
2169 2136 -369517868
1919 534 -223805008
1382 2026 905076286
34 1117 393315888
769 1002 -91559709
1907 2026 842720448
1378 1695 -485374302
232 2116 -448546968
861 2322 251400605
1984 2204 -109700729
1513 735 846664697
1485 1984 803423985
1588 1824 320103334
1874 1422 890004169
1654 1463 450215637
2477 1881 -471609487
1384 1753 -361499808
888 2353 -306099166
357 843 493527889
261 102 819427305
326 1886 459507026
535 484 -15539034
2066 1993 -124540331
962 731 -255945653
469 1821 676601861
1039 39 127118539
760 1068 -262223234
638 1444 379299835
2300 2174 896308173
995 1789 -418112733
1889 1669 664354250
1641 1721 -321452038
2394 788 911789456
781 2280 931602688
1803 1228 110426015
1841 743 137774609
1161 1663 830321689
2175 388 -397984519
2106 1800 775546967
2067 1439 169297252
1927 774 154043793
2082 2077 -58392855
942 1644 363022651
652 486 525398827
1867 375 299353842
448 815 -98182842
1541 2322 14645642
2208 759 -467220537
539 1360 407737501
1090 407 -157784969
108 1835 543207397
28 391 380327327
769 1152 936778610
902 1098 619463171
612 2179 354327691
911 1661 -378646102
1669 121 580921405
2197 78 -110783936
241 1745 -222449510
1402 575 893519473
663 1670 213106895
1470 764 59834758
1463 2220 -450531501
66 827 644981307
1307 1925 510522382
1827 1544 -378283100
1694 1108 758455554
69 2314 414143246
1440 785 587976377
341 1452 840455673
437 523 118525976
1732 1442 195352379
660 1072 -862555
2458 1325 324448847
1118 87 469760937
1997 1987 745920335
1159 736 134348458
2237 1326 192794948
43 269 -89513307
373 1546 767009473
1459 1079 284485884
131 964 270768592
2430 1315 504612173
2257 1656 -122264259
2010 1532 459476786
860 1814 179313554
20 1805 842947495
601 1306 -416131347
669 131 -394573256
930 2046 -277801480
1428 849 16590685
1651 395 -340228077
1702 672 212348228
2255 93 365559411
2248 933 873669144
1402 36 839218714
2221 1921 187460087
1307 2057 -227298787
1274 1841 31743509
1072 858 -429923087
2154 1115 794154487
285 837 796941084
2000 919 -24602973
2310 2159 -307570547
1040 103 666174514
1279 226 -118746215
1967 479 245495155
2308 1535 51648400
1949 1907 469912166
660 2182 226175158
1462 1057 157194590
176 2378 652603858
2100 2152 -339228649
94 1890 15963825
573 1385 565403435
789 1707 439215897
2015 511 -299707240
1051 445 -41928826
2383 1515 659475325
1339 2350 84727644
446 1433 834266439
2259 129 556254493
2373 1737 -193960952
2112 2106 610423589
1596 337 -12281
1285 319 727805588
2305 2074 987876972
2131 1740 371658227
2163 2244 35195140
409 2432 -305296340
1123 2085 -336734003
1168 121 -191318472
1501 1948 -302920166
2369 646 -474801346
2378 2372 581921673
749 1581 -75156454
1920 490 405344031
2283 1727 370060794
538 456 892005061
1551 1737 251171385
2356 371 401707839
790 1473 554462179
59 1442 836786095
1022 799 983142349
2307 1283 -291421409
105 711 233276340
1092 2031 -357505166
1915 1510 464561400
394 2289 -331892034
1030 2422 146698695
229 283 -36510303
138 1758 708002929
172 1900 -471169353
875 57 603030026
2496 1049 -210207110
1239 1887 422125796
1364 1007 841740301
453 18 868296343
2387 1479 317756907
719 1460 832073390
344 9 126966526
2359 2345 -163269403
50 386 -97072948
2184 1437 745316433
828 708 323336223
1006 1870 -173163477
1495 438 -267338619
54 1584 240479770
1813 1881 156984203
2240 2438 -487646968
969 1938 221655844
572 370 678104872
390 1554 921269255
1274 1124 -31111723
2024 624 492208410
1487 2260 369777042
134 2175 -141788894
478 1008 -422125372
1558 2284 -239374584
995 752 989678702
1571 1985 388509021
1211 808 -59830377
2129 97 -29400378
815 814 -246996490
146 2363 187826041
2226 1619 988753077
425 155 50054020
1703 1716 -89428725
691 1119 -355317208
279 1519 1991831
1637 406 717966590
1551 2093 -335271260
1853 154 -149918356
276 1775 245061155
2458 2332 693914832
1699 2249 402704431
1522 1720 -298572636
1321 2357 549666204
2073 1260 -305248553
1745 578 90213090
487 1056 943558707
307 2014 187139573
1708 333 -82785218
311 1308 953824343
1306 62 779855443
1903 837 355616956
512 1728 593443264
1222 861 -408384001
1392 2243 752856793
31 1910 853660529
821 1209 446863858
597 1863 133272272
2423 998 974459155
528 997 646909120
1483 1208 714971880
1072 1060 994570976
1108 1222 632698254
849 763 177212204
2098 1304 177121071
374 2417 973774428
880 1738 525918848
2090 1163 765851026
1030 1999 59666037
326 1968 346595946
621 566 462246502
1914 1275 674701300
1846 1484 441829309
1765 254 631959026
2462 1860 312929069
838 1338 311100949
632 2280 599045773
732 88 449183935
1231 2227 418543844
1071 1989 -404317950
789 1054 180896799
519 527 -110970267
2135 215 165987825
1792 143 48465182
1732 1476 977927177
1475 655 -234344745
1913 2213 -425485943
1711 306 -289242075
841 2077 455923200
2483 1425 755888034
2037 2015 20675513
1776 1208 561251548
1923 99 588467973
1768 1939 820553029
1555 2400 400340408
563 2485 355023774
1355 1171 185934823
798 1398 136376644
2426 538 564800552
1767 1092 -268722845
627 501 -484125424
2174 1140 689004855
438 1965 816065243
9 2218 423763529
890 2493 -29287794
1536 1076 621703881
712 1321 528986148
2041 751 -21234855
672 725 153024261
538 648 239995331
1079 1567 -237069813
17 85 -19081418
1674 754 561468924
788 1142 416719795
1546 1913 169413855
1568 1283 -178401399
1053 336 950217600
879 2420 109749830
247 2240 974671915
1276 1063 -256670236
1415 216 61663846
1761 458 896001355
614 2006 73551113
2480 311 146676005
1545 1739 302866334
737 1337 626163481
1880 631 629009303
2433 24 -211992015
1707 1721 -413578800
2429 1387 -247023993
2032 1770 508487026
1228 1787 718392046
1310 2185 313070614
38 1926 -237135351
284 746 317544790
12 2080 22471350
437 991 -35958544
262 591 671625049
242 1229 538497914
591 610 202352344
1207 1432 976827106
1529 839 972953173
596 230 179352072
839 1976 -384965075
2294 2460 -45127450
1157 223 289356245
1019 542 829810002
37 516 -355739832
1963 1503 -235374569
1493 735 73132086
1182 1878 660169430
1158 874 -414403429
909 31 -233475151
234 147 -346718091
2036 2184 430030994
1690 1530 -380526210
478 515 216727903
918 2364 -361840405
2094 1984 -328065244
2154 413 535819040
947 209 952360056
1292 621 474163340
1594 1068 -77047794
530 1246 -252808041
1153 383 -396968804
2188 2400 -294655478
813 2032 -446338770
2423 2207 648862241
608 680 409393073
1744 77 356714350
386 382 717843913
568 24 892674287
870 230 -467580493
1129 1134 38509565
1337 1556 304422715
257 731 -451624613
313 402 213346382
428 1612 -174867662
577 1807 533773205
854 2099 103219504
1835 2118 904189661
1211 1969 -197466317
199 1929 79752140
1551 137 35179664
679 196 520931439
1837 961 105023310
1443 1160 401525147
244 2069 -89340342
1568 172 457909119
1417 1292 -305666732
1676 469 57430822
1330 536 935921887
1560 2437 -2420722
1744 2188 672905184
1355 566 141021263
1238 1863 -179171940
1211 2092 -356906612
1600 688 839134339
396 458 194176931
728 2201 945209637
1108 641 990101771
397 922 904877653
1539 2180 256458394
2298 724 381289774
882 1227 250584890
1074 530 695672368
1118 531 454193680
222 1552 -349325120
1427 1422 583661793
447 248 828783874
1975 1193 39817707
333 1190 759486218
1002 1789 806126813
2047 478 -450996189
1868 1795 867094981
1786 2166 -248211292
102 526 837481290
1246 744 -392903303
423 1911 623722408
536 1353 326576038
37 1371 -478295225
2326 2176 422818616
1950 2295 -442924735
601 807 798333959
1002 1054 217583838
320 271 278639737
1703 1432 112657158
2261 259 668774813
914 1471 258199964
91 163 570169581
268 546 -398423846
2382 1830 492230694
1478 1048 86267779
1575 323 -369012422
444 2472 -17460244
1180 267 867973818
595 1185 920883279
730 1011 392596981
1498 645 641597556
752 844 151382752
1646 1341 656835897
2062 1454 727240984
995 390 59059610
532 1088 682180645
1473 1724 -347215764
2095 1105 294641023
969 553 359849680
876 1947 436343283
2376 1760 167960792
1697 877 315595064
2416 1157 -420033605
1104 1627 237168308
861 436 -340705652
1931 786 -415475366
1693 866 996479804
66 248 413532468
2033 240 655015722
712 1932 388858561
157 2159 311127347
1009 2373 -92889394
154 2389 787347792
30 698 775625863
394 75 948617336
148 271 362092101
1471 1999 533741960
80 1093 578950721
128 1237 114805276
1799 1362 758952696
1687 240 -415326659
2207 397 820731382
1068 1498 952136802
552 1130 992373897
1960 1936 720185503
1432 14 251587355
2383 2337 -243647686
1972 1510 446745259
2093 1537 -198497139
2163 1096 564943596
1281 437 350480864
1552 165 743355780
2112 4 688522901
519 364 551725643
2245 1870 535916322
145 627 42886550
999 1315 163539085
641 1581 -430321834
915 1934 775272397
93 1529 927852288
1591 244 -172080131
1567 226 954015779
486 598 -224754928
965 606 156383777
1950 841 864869961
1615 2321 -167713857
2375 1063 582318945
2356 1621 -154026164
1213 2443 -237028141
2248 465 584702406
667 1371 622352325
1827 29 -356273662
2402 872 -175004917
2371 127 371421263
2479 2250 328635266
2213 199 984997775
621 2055 -333665354
196 839 316966147
2146 1242 370570395
2074 1553 585714019
1268 1155 259219512
570 853 657412128
2114 158 208182999
856 2275 -305923202
2074 782 555358363
1112 1294 120702955
1159 956 437060194
397 266 13259681
701 19 913075959
2339 395 576503483
1122 1343 590726903
112 58 694049501
260 1626 383534123
717 1218 654719604
1095 1993 810106793
2191 421 693149604
613 639 -227641816
1831 249 748234789
2016 731 -163687893
707 763 209454968
1015 181 -72027603
1634 2124 220604744
283 1953 -314085212
1813 492 361979464
1961 1018 715912885
1336 1446 428044832
1964 1071 434303777
535 1587 836623721
172 1935 930778069
2403 2463 925650779
1248 723 429620100
648 105 -138133740
1188 212 276832673
712 328 -102353673
958 1896 872263198
881 1853 931454448
354 1810 965683844
2039 1279 532234259
99 2143 476505120
856 1718 108964534
824 2267 206011564
1455 1004 -399058823
908 672 7516609
1879 1644 299182876
1524 35 207535097
413 864 812703067
1 354 430813028
1428 1674 -470125457
2464 1479 269205454
719 1970 242309489
888 1568 435731242
799 1080 409675415
1799 1266 -59793751
934 2166 19764261
851 749 -6847481
2334 710 -134916254
1206 748 -306941946
2494 2010 439702942
797 917 137253667
857 2200 931102108
2061 1299 176978362
1542 581 -192210286
772 321 274497701
1287 1875 900882460
1446 2426 144651947
136 2476 915143979
803 2318 99959017
515 675 996304152
198 999 -496838002
1612 2374 -35765266
499 515 -452491546
1602 561 91588793
747 1801 641118506
1780 1918 501447250
696 2068 428102047
813 391 366587987
2061 1710 329379447
586 1038 289274040
946 1332 64607077
957 944 510955246
140 330 -265894330
1928 395 622051168
1061 98 134449216
130 1951 816326834
651 1079 -336877416
1113 1345 983785505
527 1146 771623737
1200 1595 -483631368
2269 1022 -188714297
438 485 157508101
1269 1481 177511885
2174 645 88610163
252 638 -212623548
67 569 512517751
501 990 -114373616
2113 219 181227563
2054 732 -12436920
337 45 399906322
320 1873 -490967684
2407 1284 -324271091
2213 2261 -181859909
2162 142 719595261
1370 1713 825914275
1504 119 222083485
2320 2473 815251895
2385 773 -26724706
1580 1603 -139197035
544 2252 -420456906
958 2219 79871672
222 168 740356441
1008 831 -36257282
347 1004 404476855
1996 1951 741717170
1590 1698 11411699
1500 2080 9301874
534 284 435911356
466 2224 -4729269
1280 2213 997965900
175 1665 -171297473
1332 1052 -249912502
1808 324 941518049
2063 1263 501041643
2067 237 433535354
1112 468 36970686
2467 138 886625409
40 2374 -80420804
2032 347 328519697
2093 169 312342034
512 1494 12115596
2289 590 714836244
2025 1594 390021140
711 1792 86447104
857 2179 602813352
568 2491 -491242886
153 2021 421604155
35 1811 -142227231
752 707 -445535349
2322 883 -150451030
501 1632 974937046
347 742 427974031
216 2269 -237834050
1120 2272 938468147
2310 754 345445134
17 996 -28865023
440 994 259806800
77 1335 799739917
116 2186 984597002
1518 2397 139378422
1567 300 -459680042
705 22 558161451
801 2307 889730118
784 2164 -107822146
2236 2138 594471642
1283 82 464030005
356 1114 -324006091
2298 2117 918655686
96 2011 123555596
1729 893 766486026
2336 2060 1804525
492 1176 -57389427
2367 2361 -234721733
1665 190 -121014159
2303 1739 -294142800
608 2113 358404714
1353 898 -242682274
829 988 -390884313
969 156 562935223
846 1410 -225645695
1660 411 843416539
1477 1493 933454494
2334 1204 -326814882
1518 1401 83925309
1480 1176 -335366102
127 2191 328094645
519 744 -265278284
108 196 254704415
689 1873 627396978
84 2121 360418493
995 2102 -331746864
271 1752 965592198
1522 207 -21094264
168 1495 473425450
1273 661 217834795
887 785 968056197
2174 2336 -137123802
1577 1580 -262414515
1684 331 -57038037
1253 462 21752142
1877 2206 -200153168
1318 726 -227932304
41 2345 -99000103
235 1832 -294608842
2182 1328 -1009235
1860 2250 48813152
2052 24 -446717224
1838 506 37821911
767 1660 -99480776
454 2448 133412251
1737 2210 -354423052
2357 1668 616469976
1727 118 -338908652
1682 2399 -384787275
854 2407 -354102531
2207 1513 381448050
873 521 655906398
80 1443 -414445491
1320 2205 691344257
2212 775 479268481
894 1228 -11562537
1579 1746 889467487
1977 864 185519488
2377 1744 504429067
1753 812 414516603
1810 707 -317821332
1804 1097 710094587
488 324 486912254
234 1626 -39762834
1811 209 969836763
2053 1564 406730830
624 1842 193606244
1586 1120 110198626
23 1796 65020287
1327 962 167948460
672 97 195214729
1639 402 -230552341
1402 842 -482741111
1280 908 296648786
1522 2335 205297709
1138 1708 635132042
647 2075 130064553
331 1131 37267303
1019 645 -149426437
1529 1644 -231667688
1963 2243 606152777
1741 2402 854097850
1208 518 402216814
1353 1658 814528201
132 2194 91323705
1955 743 -49788444
1959 870 685763834
498 2023 -12742947
527 2440 -256672995
1483 22 526716044
807 972 854061171
69 2439 342422842
2288 1491 829696991
1224 553 -169819705
338 578 9531674
148 1112 30377803
1742 1519 411344713
899 424 507520253
2331 990 127382746
1861 1057 -340849077
1196 2349 149525866
216 402 932256516
1941 1901 958626246
1218 792 676107594
552 840 94807612
1965 351 -28687392
337 1835 365828659
2437 332 788896836
1967 400 627250981
1132 1357 -175557937
1775 1791 518932935
708 2259 967979718
340 2491 356630091
156 2416 531841263
1460 1178 -87710158
333 894 -92022097
976 1306 33967187
134 1218 465599157
871 2241 -179427465
714 2206 967731853
1882 1799 969679765
1018 1084 580484333
2122 2217 434931023
44 546 -428854594
887 710 420345485
2012 1114 -335137900
1311 1924 584413791
943 584 499207217
1694 1948 405087488
2263 1371 -475372879
932 1477 777883177
482 1513 -366897602
1834 2258 -479133940
2164 760 105659935
2215 387 -232895979
1299 2229 476969008
1093 1299 424492872
478 1079 -5292818
201 487 944815969
647 2203 184283711
819 19 539034906
236 2049 -404925420
366 576 391899370
297 2490 -405656883
312 1827 300420362
1187 256 28552426
1955 2274 623516520
221 1367 913932342
797 1908 135777493
302 236 738296510
1635 836 217996660
2107 2292 740166721
1709 469 993432815
1916 515 840857722
1913 850 40091966
573 1283 19678819
223 2164 460270995
940 26 -439366036
1133 2462 800966725
2154 869 -247873011
2000 1795 -91005033
2202 148 67315175
294 1278 71985770
1131 115 649120862
1924 1143 -63126830
1677 84 162292596
1239 222 150006215
1384 651 -394900551
1971 2259 183129882
743 613 358773626
884 2284 -33321720
207 520 329767438
1519 1054 -268979073
175 718 516524174
2483 872 463678999
1570 1608 848867214
2185 1763 775718908
2481 1047 270456646
1077 632 795207435
629 546 592997972
221 1865 -416078239
2329 113 873258476
253 882 382604756
1758 2374 -442745808
2103 130 681478621
1962 1180 756764350
452 2425 972753087
2141 580 955681868
694 652 957400498
2016 23 -346304361
906 1581 419938551
375 1488 568055333
560 2359 705648891
839 1900 -65782546
76 1716 469536335
2260 1061 175645473
1196 335 853539203
2298 776 -302281644
814 412 725459103
1125 1127 567158237
947 2010 154409153
268 472 956746540
1524 1058 -78683073
1473 1958 -255678
1574 916 -353126648
2051 1488 736701940
1848 1836 599442483
2131 1690 554115670
2172 782 92974260
1178 798 17589523
1019 2283 371598573
390 1516 -72624157
194 1666 -51539527
1366 629 246862239
2191 1077 -436996445
2359 720 572402178
1623 666 -497435840
1827 899 22802332
2410 1245 -441748539
217 971 70425647
2419 467 559826517
2049 503 771201524
2181 2328 151794936
1249 250 -239153298
2231 831 767749573
1086 128 903478998
1741 1817 -360004511
718 623 211409680
1863 359 254344836
1550 281 254423191
653 2101 189598838
931 1835 776497368
1164 956 318226063
1216 656 509073103
2240 1696 204694521
2232 576 577822075
2128 1655 -497485561
687 1113 -68520870
2275 881 867091217
165 395 450910542
1055 2429 11406628
657 2336 968668112
1568 1133 573369877
597 559 303028112
2059 733 248476294
448 2046 -337899988
725 88 357376921
949 2395 61752579
2049 733 977036954
627 275 -454598447
1052 481 841886017
156 364 564968405
1234 1105 772404917
1129 2195 -75340816
1418 2024 944114529
2133 220 -336179063
439 614 -342220136
1979 861 -295520436
2136 98 349456600
2200 1130 -353486190
2087 1257 191780431
1061 2075 669212332
1038 1615 -221553680
1704 568 254729401
149 1932 -388368320
1403 1920 -344102384
1378 920 732963846
1412 840 47659140
405 1173 -299082873
1143 951 -53877583
1492 2479 -63938964
1311 1833 10083807
2038 2318 770236960
70 2387 -140649290
1211 2018 199464403
1880 1529 -184517229
210 1042 476407350
298 2267 435071959
491 2361 295816477
342 1583 567072622
549 765 760785427
326 1445 546153098
906 421 -429162343
678 1938 -292780348
2151 2344 604797535
904 712 783281772
1829 1154 758684456
1892 2342 -38475285
1754 2482 285483350
1788 1701 215107747
1856 2440 -334784823
1564 958 439299599
2499 1184 82571716
572 920 -351527976
2419 2298 569387237
1671 2112 951417319
364 1668 833274125
62 1919 -57220857
1638 1663 715792982
1216 234 -7361376
1902 1737 -208432519
2293 982 583774025
1015 1185 -136333577
769 613 -115332284
2125 1315 710606306
1197 569 876222359
2139 493 448152033
897 2275 -115229844
929 1285 -54799339
782 1628 -166833912
1769 1882 -68886072
1818 2003 -293236247
2359 286 -496237375
104 43 878371133
339 1349 -331645014
743 1879 -293373471
1158 350 247612512
1340 2320 607630728
1136 1208 468648476
1357 1683 501225368
1900 472 -155037874
1864 274 993850270
1989 1600 820468880
151 915 468937213
956 845 -141455434
563 942 441253303
1508 2067 745719740
2057 1903 237117570
685 2291 731612865
554 779 521588308
2492 246 973484108
2295 437 947076207
2256 1336 -13768873
741 294 -196905736
1944 802 424215478
1590 672 753363459
1541 1818 90741242
499 855 -49751913
1844 1154 262289259
705 710 637372225
2247 128 585809790
21 1117 362426003
819 1779 -180788922
754 1070 464555959
117 922 95086714
155 504 163092416
1470 2185 690347692
1361 2425 -255803840
2176 1361 292982621
2293 1609 263079640
685 117 -412078748
954 1999 973468157
1104 1426 541822726
470 607 567955783
1880 1999 -92770650
2216 511 64779349
914 1282 750875743
542 237 919833864
2235 83 483656753
1509 139 -498516659
844 2175 -472540683
1522 1869 183776609
1065 961 248229612
1198 2273 -179336419
1270 1180 19740121
1381 845 65298577
1582 2025 -404386174
1603 2223 512817020
20 1804 957753660
59 2017 812950219
1788 1015 -42026832
752 2421 157608539
435 824 -435928794
27 393 38129815
719 919 444686842
1403 1634 343882078
985 1549 591955326
90 2462 -459916190
1110 1825 772760921
400 389 -439125037
334 160 -116051969
113 2349 759966039
973 2 -364472017
960 1323 -244926127
273 2022 524047035
216 647 13667513
1315 159 675573937
461 1117 727512863
2406 653 447064285
759 1435 -355614550
531 1242 -318498578
193 1850 -115461395
1848 1943 -477246757
910 1497 606721975
2469 1183 -281749528
251 1975 927575612
1526 504 100822729
